,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver,highest_score
0,0.5473694685000747,logistic,"(100, 25)",0.001,400,adam,0.5726226701358276
1,0.49499381363256606,logistic,"(100, 25)",0.01,400,adam,0.5777787248917213
2,0.5673565940972888,logistic,"(150, 35)",0.001,400,adam,0.614888074402337
3,0.5187244097685977,logistic,"(150, 35)",0.01,400,adam,0.5892492946907082
4,0.5523481452821146,logistic,"(200, 50)",0.001,400,adam,0.595098611289622
5,0.47678643299457424,logistic,"(200, 50)",0.01,400,adam,0.5532699133431231
