,score,C,max_iter,multi_class,penalty,solver,highest_score
0,0.5756972150158812,1.0,100,auto,l2,lbfgs,0.5910624199882181
1,0.5765501981883492,1.0,100,auto,l2,saga,0.5954848531569249
2,0.5756972150158812,1.0,200,auto,l2,lbfgs,0.5910624199882181
3,0.5759166634990868,1.0,200,auto,l2,saga,0.5910624199882181
4,0.5722993751765626,0.5,100,auto,l2,lbfgs,0.5896632953177775
5,0.5713488923958435,0.5,100,auto,l2,saga,0.5896632953177775
6,0.5722993751765626,0.5,200,auto,l2,lbfgs,0.5896632953177775
7,0.5718497134837823,0.5,200,auto,l2,saga,0.5896632953177775
8,0.5685484477931587,0.2,100,auto,l2,lbfgs,0.6019351275976418
9,0.5685484477931587,0.2,100,auto,l2,saga,0.6019351275976418
10,0.5685484477931587,0.2,200,auto,l2,lbfgs,0.6019351275976418
11,0.5685484477931587,0.2,200,auto,l2,saga,0.6019351275976418
