,score,C,max_iter,multi_class,penalty,solver,highest_score
0,0.5481479045014028,1.0,100,auto,l2,lbfgs,0.6482377160898561
1,0.5758105325143335,1.0,100,auto,l2,saga,0.6196177467058407
2,0.5388353939414728,1.0,200,auto,l2,lbfgs,0.6173533554454245
3,0.5745752935683288,1.0,200,auto,l2,saga,0.6188795874032004
4,0.5477250836934319,0.5,100,auto,l2,lbfgs,0.6474675486149895
5,0.5755796382407252,0.5,100,auto,l2,saga,0.6178448428243536
6,0.5401806589155935,0.5,200,auto,l2,lbfgs,0.6265490361699451
7,0.5743909022216925,0.5,200,auto,l2,saga,0.6188795874032004
8,0.5499821870516614,0.2,100,auto,l2,lbfgs,0.6549985217167378
9,0.5755902419537009,0.2,100,auto,l2,saga,0.6178448428243536
10,0.5412730598854807,0.2,200,auto,l2,lbfgs,0.614723493281897
11,0.5742474517339664,0.2,200,auto,l2,saga,0.6175688136116785
