,score,algorithm,n_neighbors,p,weights,highest_score
0,0.5346237580709392,ball_tree,8,1,distance,0.5826458708703209
1,0.5344599926108622,ball_tree,9,1,distance,0.5857602673461137
2,0.5366977447266492,ball_tree,10,1,distance,0.5857827894469115
3,0.5346248837612488,kd_tree,8,1,distance,0.5826458708703209
4,0.5344016822819451,kd_tree,9,1,distance,0.5857602673461137
5,0.5366468601040781,kd_tree,10,1,distance,0.5857827894469115
