,score,activation,hidden_layer_sizes,max_iter,solver,highest_score
0,0.574800012719371,logistic,"(100,)",400,adam,0.615353528505102
1,0.569583167147132,logistic,"(100,)",500,adam,0.6070674112383821
2,0.5696207776329373,logistic,"(150,)",400,adam,0.6058281264103006
3,0.564886858894674,logistic,"(150,)",500,adam,0.6124735426798065
4,0.566467986001605,logistic,"(200,)",400,adam,0.6024337061717944
5,0.5597583951951444,logistic,"(200,)",500,adam,0.600473520544838
6,0.5475437327079281,relu,"(100,)",400,adam,0.5784550097854257
7,0.5470999379459462,relu,"(100,)",500,adam,0.5723396287850236
8,0.5546213161237538,relu,"(150,)",400,adam,0.5950792421542148
9,0.5470179038161915,relu,"(150,)",500,adam,0.5695765678305195
10,0.5514039950560853,relu,"(200,)",400,adam,0.5826467456996328
11,0.5515527678739389,relu,"(200,)",500,adam,0.582186641342067
12,0.5525999501882046,identity,"(100,)",400,adam,0.6069253220852987
13,0.5553705657890967,identity,"(100,)",500,adam,0.5906871306883397
14,0.5541952796146815,identity,"(150,)",400,adam,0.6104708387074081
15,0.5518694499471934,identity,"(150,)",500,adam,0.5997927607815968
16,0.5496254425076679,identity,"(200,)",400,adam,0.5990529029238942
17,0.5523149647624602,identity,"(200,)",500,adam,0.598120782531926
