,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver,highest_score
0,0.3496249036053894,logistic,"(100, 25)",0.0001,400,adam,0.3698808426388276
1,0.36475339165083576,logistic,"(100, 25)",0.0001,500,adam,0.4207020218705758
2,0.5618070843183495,logistic,"(100, 25)",0.001,400,adam,0.6102236074410455
3,0.5552270130499781,logistic,"(100, 25)",0.001,500,adam,0.6099977093250902
4,0.3610273697072182,logistic,"(150, 35)",0.0001,400,adam,0.4091258933821723
5,0.3543933603421409,logistic,"(150, 35)",0.0001,500,adam,0.3764440327328078
6,0.5601352959135093,logistic,"(150, 35)",0.001,400,adam,0.6186465125725689
7,0.5533257080231611,logistic,"(150, 35)",0.001,500,adam,0.5920928956960905
8,0.37546710520556437,logistic,"(200, 50)",0.0001,400,adam,0.4822237407219427
9,0.36958706239495365,logistic,"(200, 50)",0.0001,500,adam,0.4342881366619939
10,0.5524110490406008,logistic,"(200, 50)",0.001,400,adam,0.591938208454777
11,0.5556964021625843,logistic,"(200, 50)",0.001,500,adam,0.5933800953341936
