,score,C,max_iter,multi_class,penalty,solver,highest_score
0,0.5742863217341483,1.0,100,auto,l2,lbfgs,0.5941875729673476
1,0.5728455559880302,1.0,100,auto,l2,saga,0.5949396443890091
2,0.5742863217341483,1.0,200,auto,l2,lbfgs,0.5941875729673476
3,0.5739343491589309,1.0,200,auto,l2,saga,0.5940655032630097
4,0.5727340327909978,0.5,100,auto,l2,lbfgs,0.5948400798896102
5,0.5735055677066957,0.5,100,auto,l2,saga,0.5973923696615844
6,0.5727340327909978,0.5,200,auto,l2,lbfgs,0.5948400798896102
7,0.5732327432856343,0.5,200,auto,l2,saga,0.5948400798896102
8,0.5669592416104791,0.2,100,auto,l2,lbfgs,0.5996641504829415
9,0.5668689482400264,0.2,100,auto,l2,saga,0.5996641504829415
10,0.5669592416104791,0.2,200,auto,l2,lbfgs,0.5996641504829415
11,0.5668689482400264,0.2,200,auto,l2,saga,0.5996641504829415
