,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.8359843121993734,logistic,"(100, 25)",0.0001,400,adam
1,0.8362025431986305,logistic,"(100, 25)",0.0001,500,adam
2,0.8337014036178841,logistic,"(100, 25)",0.001,400,adam
3,0.8332168431653496,logistic,"(100, 25)",0.001,500,adam
4,0.8362025431986305,logistic,"(150, 35)",0.0001,400,adam
5,0.8362025431986305,logistic,"(150, 35)",0.0001,500,adam
6,0.835636897688933,logistic,"(150, 35)",0.001,400,adam
7,0.8298350322111737,logistic,"(150, 35)",0.001,500,adam
8,0.8362025431986305,logistic,"(200, 50)",0.0001,400,adam
9,0.8360803645872226,logistic,"(200, 50)",0.0001,500,adam
10,0.831608857232494,logistic,"(200, 50)",0.001,400,adam
11,0.8338486577896473,logistic,"(200, 50)",0.001,500,adam
