,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.8355970645604354,logistic,"(100, 25)",0.0001,400,adam
1,0.8361474721632443,logistic,"(100, 25)",0.0001,500,adam
2,0.8350074354076273,logistic,"(100, 25)",0.001,400,adam
3,0.834515129418552,logistic,"(100, 25)",0.001,500,adam
4,0.8359574976071116,logistic,"(150, 35)",0.0001,400,adam
5,0.8361980772981464,logistic,"(150, 35)",0.0001,500,adam
6,0.8345803957639262,logistic,"(150, 35)",0.001,400,adam
7,0.8350063470691514,logistic,"(150, 35)",0.001,500,adam
8,0.8360803645872226,logistic,"(200, 50)",0.0001,400,adam
9,0.8352400385811423,logistic,"(200, 50)",0.0001,500,adam
10,0.8342699207041552,logistic,"(200, 50)",0.001,400,adam
11,0.8333734771202546,logistic,"(200, 50)",0.001,500,adam
