,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.6446250650677264,logistic,"(100, 25)",0.0001,400,adam
1,0.6498368144257141,logistic,"(100, 25)",0.0001,500,adam
2,0.6174264249632346,logistic,"(100, 25)",0.001,400,adam
3,0.6218696173311075,logistic,"(100, 25)",0.001,500,adam
4,0.6499307226389353,logistic,"(200, 50)",0.0001,400,adam
5,0.6501992412347353,logistic,"(200, 50)",0.0001,500,adam
6,0.6201173776899075,logistic,"(200, 50)",0.001,400,adam
7,0.6191891047699467,logistic,"(200, 50)",0.001,500,adam
