,score,activation,hidden_layer_sizes,max_iter,solver
0,0.8195280840643223,logistic,"(100,)",400,adam
1,0.8204728963487572,logistic,"(100,)",500,adam
2,0.8202423345777602,logistic,"(150,)",400,adam
3,0.8202250372115308,logistic,"(150,)",500,adam
4,0.8174172038101016,logistic,"(200,)",400,adam
5,0.8163452188967202,logistic,"(200,)",500,adam
6,0.8094074690411478,relu,"(100,)",400,adam
7,0.8018561067144955,relu,"(100,)",500,adam
8,0.8004220789331102,relu,"(150,)",400,adam
9,0.7995384963969017,relu,"(150,)",500,adam
10,0.8038396283661436,relu,"(200,)",400,adam
11,0.8022203739227152,relu,"(200,)",500,adam
12,0.813744585192705,identity,"(100,)",400,adam
13,0.8071021946297448,identity,"(100,)",500,adam
14,0.809180282181394,identity,"(150,)",400,adam
15,0.8084501075117606,identity,"(150,)",500,adam
16,0.813956360794195,identity,"(200,)",400,adam
17,0.8144695913560642,identity,"(200,)",500,adam
