,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.8346743233694079,logistic,"(100, 25)",0.0001,400,adam
1,0.8347556489749305,logistic,"(100, 25)",0.0001,500,adam
2,0.8307182258116523,logistic,"(100, 25)",0.001,400,adam
3,0.8278156242471605,logistic,"(100, 25)",0.001,500,adam
4,0.8345634825276399,logistic,"(150, 35)",0.0001,400,adam
5,0.8345354201845083,logistic,"(150, 35)",0.0001,500,adam
6,0.8283744892036153,logistic,"(150, 35)",0.001,400,adam
7,0.829889397058103,logistic,"(150, 35)",0.001,500,adam
8,0.8338300430012306,logistic,"(200, 50)",0.0001,400,adam
9,0.8346716422618762,logistic,"(200, 50)",0.0001,500,adam
10,0.8307761568475598,logistic,"(200, 50)",0.001,400,adam
11,0.8321000274826332,logistic,"(200, 50)",0.001,500,adam
