,score,activation,hidden_layer_sizes,max_iter,solver
0,0.8331018520305218,logistic,"(100,)",400,adam
1,0.834463089449072,logistic,"(100,)",500,adam
2,0.8336508027060251,logistic,"(150,)",400,adam
3,0.8327023919418848,logistic,"(150,)",500,adam
4,0.8335729766089954,logistic,"(200,)",400,adam
5,0.8328994296705682,logistic,"(200,)",500,adam
6,0.8225903129552503,relu,"(100,)",400,adam
7,0.826905569425586,relu,"(100,)",500,adam
8,0.8256483832383964,relu,"(150,)",400,adam
9,0.827724451860934,relu,"(150,)",500,adam
10,0.8214781891239469,relu,"(200,)",400,adam
11,0.8192117509904208,relu,"(200,)",500,adam
12,0.8215325309511596,identity,"(100,)",400,adam
13,0.8256012445205467,identity,"(100,)",500,adam
14,0.8132265967863495,identity,"(150,)",400,adam
15,0.8190996024406729,identity,"(150,)",500,adam
16,0.8150621708256371,identity,"(200,)",400,adam
17,0.816011144084986,identity,"(200,)",500,adam
