,score,C,max_iter,multi_class,penalty,solver
99,0.576236999647561,0.5,400,auto,l2,newton-cg
100,0.5961121636321401,0.5,400,auto,l2,sag
101,0.589126654007823,0.5,400,auto,l2,saga
102,0.5916066947407042,0.5,400,ovr,l1,liblinear
103,0.5895593473535203,0.5,400,ovr,l1,saga
104,0.5880721170135076,0.5,400,ovr,l2,lbfgs
105,0.5762024018357917,0.5,400,ovr,l2,liblinear
106,0.576236999647561,0.5,400,ovr,l2,newton-cg
107,0.5960954736375368,0.5,400,ovr,l2,sag
108,0.5891610076991327,0.5,400,ovr,l2,saga
109,0.5968952551325337,0.5,400,multinomial,l1,saga
110,0.5868153739714271,0.5,400,multinomial,l2,lbfgs
111,0.5733216159293938,0.5,400,multinomial,l2,newton-cg
112,0.599505448957345,0.5,400,multinomial,l2,sag
113,0.5960940383081443,0.5,400,multinomial,l2,saga
114,0.6072347777265787,0.2,100,auto,l1,liblinear
115,0.5700183478151634,0.2,100,auto,l1,saga
116,0.5990443056106429,0.2,100,auto,l2,lbfgs
117,0.5884698853265301,0.2,100,auto,l2,liblinear
118,0.5812668045800491,0.2,100,auto,l2,newton-cg
119,0.5786199925422497,0.2,100,auto,l2,sag
120,0.5705150646394666,0.2,100,auto,l2,saga
121,0.6072521357657977,0.2,100,ovr,l1,liblinear
122,0.5699925979778119,0.2,100,ovr,l1,saga
123,0.5990443056106429,0.2,100,ovr,l2,lbfgs
124,0.5884698853265301,0.2,100,ovr,l2,liblinear
125,0.5812668045800491,0.2,100,ovr,l2,newton-cg
126,0.5786839033141983,0.2,100,ovr,l2,sag
127,0.5704809276151929,0.2,100,ovr,l2,saga
128,0.5785274399168759,0.2,100,multinomial,l1,saga
129,0.5989588454165553,0.2,100,multinomial,l2,lbfgs
130,0.5774251936635743,0.2,100,multinomial,l2,newton-cg
131,0.5889010125374677,0.2,100,multinomial,l2,sag
132,0.5787010368632266,0.2,100,multinomial,l2,saga
133,0.6072326735993908,0.2,200,auto,l1,liblinear
134,0.5785281223560561,0.2,200,auto,l1,saga
135,0.6008744314444435,0.2,200,auto,l2,lbfgs
136,0.5816004788577626,0.2,200,auto,l2,liblinear
137,0.5812668045800491,0.2,200,auto,l2,newton-cg
138,0.5891446223386709,0.2,200,auto,l2,sag
139,0.5787106289800878,0.2,200,auto,l2,saga
140,0.6072438840216394,0.2,200,ovr,l1,liblinear
141,0.5786773835215056,0.2,200,ovr,l1,saga
142,0.6008744314444435,0.2,200,ovr,l2,lbfgs
143,0.5816004788577626,0.2,200,ovr,l2,liblinear
144,0.5812668045800491,0.2,200,ovr,l2,newton-cg
145,0.5891681628516605,0.2,200,ovr,l2,sag
146,0.5786816361764261,0.2,200,ovr,l2,saga
147,0.5896432035626098,0.2,200,multinomial,l1,saga
148,0.5998520102204885,0.2,200,multinomial,l2,lbfgs
149,0.5774251936635743,0.2,200,multinomial,l2,newton-cg
150,0.5961102861092527,0.2,200,multinomial,l2,sag
151,0.5890653285426154,0.2,200,multinomial,l2,saga
152,0.6072382930807616,0.2,400,auto,l1,liblinear
153,0.5895562624437725,0.2,400,auto,l1,saga
154,0.5886424647310096,0.2,400,auto,l2,lbfgs
155,0.5815653123054677,0.2,400,auto,l2,liblinear
156,0.5812668045800491,0.2,400,auto,l2,newton-cg
157,0.5962562222112043,0.2,400,auto,l2,sag
158,0.5890854995875432,0.2,400,auto,l2,saga
159,0.6072334664452756,0.2,400,ovr,l1,liblinear
160,0.5896571412301594,0.2,400,ovr,l1,saga
161,0.5886424647310096,0.2,400,ovr,l2,lbfgs
162,0.5815653123054677,0.2,400,ovr,l2,liblinear
163,0.5812668045800491,0.2,400,ovr,l2,newton-cg
164,0.5960493144121936,0.2,400,ovr,l2,sag
165,0.5891079083876251,0.2,400,ovr,l2,saga
166,0.5973042143599571,0.2,400,multinomial,l1,saga
167,0.5875509083675343,0.2,400,multinomial,l2,lbfgs
168,0.5774251936635743,0.2,400,multinomial,l2,newton-cg
169,0.5996568772770318,0.2,400,multinomial,l2,sag
170,0.5962613908785541,0.2,400,multinomial,l2,saga
