,score,activation,hidden_layer_sizes,max_iter,solver
0,0.5735262108003869,logistic,"(100,)",400,adam
1,0.5674107476855345,logistic,"(100,)",500,adam
2,0.5725534744515174,logistic,"(150,)",400,adam
3,0.5646824854578996,logistic,"(150,)",500,adam
4,0.5662892516537353,logistic,"(200,)",400,adam
5,0.560089487172518,logistic,"(200,)",500,adam
6,0.5538644725576621,relu,"(100,)",400,adam
7,0.5484760788620677,relu,"(100,)",500,adam
8,0.5481566250154876,relu,"(150,)",400,adam
9,0.5483474096282481,relu,"(150,)",500,adam
10,0.5520885411331552,relu,"(200,)",400,adam
11,0.5555985689926441,relu,"(200,)",500,adam
12,0.5521799915410673,identity,"(100,)",400,adam
13,0.5556763615774384,identity,"(100,)",500,adam
14,0.5563348956571615,identity,"(150,)",400,adam
15,0.553510588806129,identity,"(150,)",500,adam
16,0.5536575605804244,identity,"(200,)",400,adam
17,0.545883722398955,identity,"(200,)",500,adam
