,score,activation,hidden_layer_sizes,max_iter,solver
0,0.8307857889970377,logistic,"(100,)",400,adam
1,0.8326768091746126,logistic,"(100,)",500,adam
2,0.8327321430969719,logistic,"(150,)",400,adam
3,0.8278539213297869,logistic,"(150,)",500,adam
4,0.8287700391607904,logistic,"(200,)",400,adam
5,0.8314996243996523,logistic,"(200,)",500,adam
6,0.825531965919174,relu,"(100,)",400,adam
7,0.8276228703319213,relu,"(100,)",500,adam
8,0.8104450037491494,relu,"(150,)",400,adam
9,0.8187890913197023,relu,"(150,)",500,adam
10,0.8170150211777175,relu,"(200,)",400,adam
11,0.8215021958963081,relu,"(200,)",500,adam
12,0.8194360855632402,identity,"(100,)",400,adam
13,0.8217182730444714,identity,"(100,)",500,adam
14,0.8014819709386594,identity,"(150,)",400,adam
15,0.8135883888076387,identity,"(150,)",500,adam
16,0.8171471057055589,identity,"(200,)",400,adam
17,0.8156949180072708,identity,"(200,)",500,adam
