,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.6405276026113521,logistic,"(100, 25)",0.0001,400,adam
1,0.6420747352211326,logistic,"(100, 25)",0.0001,500,adam
2,0.6261966299253119,logistic,"(100, 25)",0.001,400,adam
3,0.626393232055308,logistic,"(100, 25)",0.001,500,adam
4,0.6389241010318852,logistic,"(150, 35)",0.0001,400,adam
5,0.6362142676637165,logistic,"(150, 35)",0.0001,500,adam
6,0.6291926488723795,logistic,"(150, 35)",0.001,400,adam
7,0.6290229283375319,logistic,"(150, 35)",0.001,500,adam
8,0.6350275981269137,logistic,"(200, 50)",0.0001,400,adam
9,0.6383985925146294,logistic,"(200, 50)",0.0001,500,adam
10,0.6309769069532103,logistic,"(200, 50)",0.001,400,adam
11,0.6315243306611793,logistic,"(200, 50)",0.001,500,adam
