,score,activation,hidden_layer_sizes,max_iter,solver
0,0.8344525404364113,logistic,"(100,)",400,adam
1,0.8335032725494834,logistic,"(100,)",500,adam
2,0.8348882625970248,logistic,"(150,)",400,adam
3,0.8339095234559608,logistic,"(150,)",500,adam
4,0.8348730323212583,logistic,"(200,)",400,adam
5,0.833497535994691,logistic,"(200,)",500,adam
6,0.8229133422444763,relu,"(100,)",400,adam
7,0.8251645789476079,relu,"(100,)",500,adam
8,0.8201992086366955,relu,"(150,)",400,adam
9,0.822717139380354,relu,"(150,)",500,adam
10,0.8245397384558656,relu,"(200,)",400,adam
11,0.8285500569600108,relu,"(200,)",500,adam
12,0.8187220562397958,identity,"(100,)",400,adam
13,0.8268481383276199,identity,"(100,)",500,adam
14,0.8075292730283475,identity,"(150,)",400,adam
15,0.8140910433427898,identity,"(150,)",500,adam
16,0.819722013670076,identity,"(200,)",400,adam
17,0.8089533261508841,identity,"(200,)",500,adam
