,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.3544779108808348,logistic,"(100, 25)",0.0001,400,adam
1,0.3677007948785141,logistic,"(100, 25)",0.0001,500,adam
2,0.5638750313201634,logistic,"(100, 25)",0.001,400,adam
3,0.559703164692804,logistic,"(100, 25)",0.001,500,adam
4,0.3552577022247028,logistic,"(150, 35)",0.0001,400,adam
5,0.3563098957211669,logistic,"(150, 35)",0.0001,500,adam
6,0.5591362751216103,logistic,"(150, 35)",0.001,400,adam
7,0.5568150133609472,logistic,"(150, 35)",0.001,500,adam
8,0.3764468393023167,logistic,"(200, 50)",0.0001,400,adam
9,0.3716688368429027,logistic,"(200, 50)",0.0001,500,adam
10,0.5576412255314378,logistic,"(200, 50)",0.001,400,adam
11,0.5544320840509724,logistic,"(200, 50)",0.001,500,adam
