,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver,highest_score
0,0.6630066300753775,logistic,"(100, 25)",0.001,400,adam,0.71948498326931
1,0.5154825276494058,logistic,"(100, 25)",0.01,400,adam,0.6504038172839071
2,0.6544167811344735,logistic,"(150, 35)",0.001,400,adam,0.7284378545700934
3,0.5106855884640795,logistic,"(150, 35)",0.01,400,adam,0.6548326825140469
4,0.6522921806450668,logistic,"(200, 50)",0.001,400,adam,0.703136843068414
5,0.5139212900686132,logistic,"(200, 50)",0.01,400,adam,0.6286520926994891
