,score,C,gamma,kernel,shrinking,highest_score
0,0.6328532951548218,1.0,scale,poly,False,0.6927506045153103
1,0.6328532951548218,1.0,scale,poly,True,0.6927506045153103
2,0.6718469372584489,1.0,scale,rbf,False,0.7486463997878164
3,0.6718469372584489,1.0,scale,rbf,True,0.7486463997878164
4,0.6162641498135979,1.0,scale,sigmoid,False,0.6951580174512749
5,0.6163228121300518,1.0,scale,sigmoid,True,0.6951580174512749
6,0.6248410998051286,1.0,auto,poly,False,0.7035074131890062
7,0.6248410998051286,1.0,auto,poly,True,0.7035074131890062
8,0.426933905679075,1.0,auto,rbf,False,0.426933905679075
9,0.426933905679075,1.0,auto,rbf,True,0.426933905679075
10,0.426933905679075,1.0,auto,sigmoid,False,0.426933905679075
11,0.426933905679075,1.0,auto,sigmoid,True,0.426933905679075
12,0.6243745716324983,0.5,scale,poly,False,0.6777266944920344
13,0.6243745716324983,0.5,scale,poly,True,0.6777266944920344
14,0.6425343616995312,0.5,scale,rbf,False,0.7088781085042459
15,0.6425343616995312,0.5,scale,rbf,True,0.7088781085042459
16,0.5672745760684426,0.5,scale,sigmoid,False,0.6602559669909444
17,0.5672745760684426,0.5,scale,sigmoid,True,0.6602559669909444
18,0.6248410998051286,0.5,auto,poly,False,0.7035074131890062
19,0.6248410998051286,0.5,auto,poly,True,0.7035074131890062
20,0.426933905679075,0.5,auto,rbf,False,0.426933905679075
21,0.426933905679075,0.5,auto,rbf,True,0.426933905679075
22,0.426933905679075,0.5,auto,sigmoid,False,0.426933905679075
23,0.426933905679075,0.5,auto,sigmoid,True,0.426933905679075
24,0.6081163281037936,0.2,scale,poly,False,0.6552312402277591
25,0.6081163281037936,0.2,scale,poly,True,0.6552312402277591
26,0.6107584454619135,0.2,scale,rbf,False,0.6597897019381463
27,0.6107584454619135,0.2,scale,rbf,True,0.6597897019381463
28,0.48588065499597294,0.2,scale,sigmoid,False,0.5583990520089449
29,0.48588065499597294,0.2,scale,sigmoid,True,0.5583990520089449
30,0.6248410998051286,0.2,auto,poly,False,0.7035074131890062
31,0.6248410998051286,0.2,auto,poly,True,0.7035074131890062
32,0.426933905679075,0.2,auto,rbf,False,0.426933905679075
33,0.426933905679075,0.2,auto,rbf,True,0.426933905679075
34,0.426933905679075,0.2,auto,sigmoid,False,0.426933905679075
35,0.426933905679075,0.2,auto,sigmoid,True,0.426933905679075
