,score,C,gamma,kernel,shrinking,highest_score
0,0.6305325261777845,1.0,scale,poly,False,0.6919057383761887
1,0.6305325261777845,1.0,scale,poly,True,0.6919057383761887
2,0.6788844620850907,1.0,scale,rbf,False,0.7496353444649748
3,0.6789058499874941,1.0,scale,rbf,True,0.7496353444649748
4,0.6155216645035672,1.0,scale,sigmoid,False,0.6923936895882945
5,0.6158864873711551,1.0,scale,sigmoid,True,0.6923936895882945
6,0.610504420606267,1.0,auto,poly,False,0.6698853564318442
7,0.6105072717789006,1.0,auto,poly,True,0.6698853564318442
8,0.42693409742120336,1.0,auto,rbf,False,0.4269340974212034
9,0.42693409742120336,1.0,auto,rbf,True,0.4269340974212034
10,0.4294123314781688,1.0,auto,sigmoid,False,0.4491674847005553
11,0.4294123314781688,1.0,auto,sigmoid,True,0.4491674847005553
12,0.6379583062068662,0.5,scale,poly,False,0.7093413980464002
13,0.6379650840643026,0.5,scale,poly,True,0.7093413980464002
14,0.6850863809896773,0.5,scale,rbf,False,0.7536128424306695
15,0.6850783628111927,0.5,scale,rbf,True,0.7538056516245216
16,0.6240247874030966,0.5,scale,sigmoid,False,0.7210020083391985
17,0.6236707458207936,0.5,scale,sigmoid,True,0.7210020083391985
18,0.610504420606267,0.5,auto,poly,False,0.6698853564318442
19,0.6105072717789006,0.5,auto,poly,True,0.6698853564318442
20,0.42693409742120336,0.5,auto,rbf,False,0.4269340974212034
21,0.42693409742120336,0.5,auto,rbf,True,0.4269340974212034
22,0.42881508214404673,0.5,auto,sigmoid,False,0.447931229939142
23,0.42881508214404673,0.5,auto,sigmoid,True,0.447931229939142
24,0.6339774093076261,0.2,scale,poly,False,0.6917651306049472
25,0.6339774093076261,0.2,scale,poly,True,0.6917651306049472
26,0.6721581532163928,0.2,scale,rbf,False,0.7566755011481415
27,0.6721677645496569,0.2,scale,rbf,True,0.7566755011481415
28,0.6200721366217002,0.2,scale,sigmoid,False,0.6917137838390174
29,0.6203851191061954,0.2,scale,sigmoid,True,0.6915262025233365
30,0.610504420606267,0.2,auto,poly,False,0.6698853564318442
31,0.6105072717789006,0.2,auto,poly,True,0.6698853564318442
32,0.42693409742120336,0.2,auto,rbf,False,0.4269340974212034
33,0.42693409742120336,0.2,auto,rbf,True,0.4269340974212034
34,0.4277466533663344,0.2,auto,sigmoid,False,0.4435371989398178
35,0.4277466533663344,0.2,auto,sigmoid,True,0.4435371989398178
