,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.6696481157172947,logistic,"(100, 25)",0.0001,400,adam
1,0.6744873967141272,logistic,"(100, 25)",0.0001,500,adam
2,0.6742862135134186,logistic,"(100, 25)",0.001,400,adam
3,0.6712561069847389,logistic,"(100, 25)",0.001,500,adam
4,0.674250857991109,logistic,"(200, 50)",0.0001,400,adam
5,0.6764270835933976,logistic,"(200, 50)",0.0001,500,adam
6,0.6659928914147544,logistic,"(200, 50)",0.001,400,adam
7,0.669276974950003,logistic,"(200, 50)",0.001,500,adam
