,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.8343157219836457,logistic,"(100, 25)",0.0001,400,adam
1,0.834207387831911,logistic,"(100, 25)",0.0001,500,adam
2,0.8307763905540527,logistic,"(100, 25)",0.001,400,adam
3,0.8321999525865194,logistic,"(100, 25)",0.001,500,adam
4,0.8341482115406734,logistic,"(200, 50)",0.0001,400,adam
5,0.8354126210497448,logistic,"(200, 50)",0.0001,500,adam
6,0.8306832903853232,logistic,"(200, 50)",0.001,400,adam
7,0.8316882065620304,logistic,"(200, 50)",0.001,500,adam
