,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.6687504639644349,logistic,"(100, 25)",0.0001,400,adam
1,0.6744393579575245,logistic,"(100, 25)",0.0001,500,adam
2,0.6713287145790978,logistic,"(100, 25)",0.001,400,adam
3,0.6728917779679693,logistic,"(100, 25)",0.001,500,adam
4,0.672390567427051,logistic,"(200, 50)",0.0001,400,adam
5,0.6762065464392958,logistic,"(200, 50)",0.0001,500,adam
6,0.6695199031613756,logistic,"(200, 50)",0.001,400,adam
7,0.6702193071608731,logistic,"(200, 50)",0.001,500,adam
