,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.6797861393765996,logistic,"(100, 25)",0.0001,400,adam
1,0.6762955292290839,logistic,"(100, 25)",0.0001,500,adam
2,0.6659795637938716,logistic,"(100, 25)",0.001,400,adam
3,0.6631103127070783,logistic,"(100, 25)",0.001,500,adam
4,0.6693616901455526,logistic,"(200, 50)",0.0001,400,adam
5,0.6700810643277693,logistic,"(200, 50)",0.0001,500,adam
6,0.6626393491378803,logistic,"(200, 50)",0.001,400,adam
7,0.6654488228353481,logistic,"(200, 50)",0.001,500,adam
