,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.006491740544637044,0.00022689402625140968,0.028700510660807293,0.0009871324895132844,ball_tree,8,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.572261623325453,0.5400479616306955,0.5108446576072475,0.5410514141877987,0.025083408956035412,5
1,0.006721814473470052,0.0002698133198796112,0.029107332229614258,0.0009296705846815934,ball_tree,9,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.5724413170193772,0.5105316482696102,0.583941605839416,0.5556381903761344,0.03223884061544205,3
2,0.006875514984130859,0.0003335609699208729,0.028266747792561848,0.0005949698686193035,ball_tree,10,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.6014283463739957,0.5474211423699915,0.5401459854014599,0.5629984913818157,0.02733584085980869,1
3,0.007685422897338867,0.0009854112054957845,0.03835050264994303,0.0045912369233468515,kd_tree,8,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.572261623325453,0.5400479616306955,0.5108446576072475,0.5410514141877987,0.025083408956035412,5
4,0.0076067447662353516,0.0010238763856628902,0.039537668228149414,0.002974432878456702,kd_tree,9,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.5724413170193772,0.5105316482696102,0.583941605839416,0.5556381903761344,0.03223884061544205,3
5,0.008472204208374023,0.00019072562433754872,0.04103350639343262,0.000743535342263082,kd_tree,10,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.6014283463739957,0.5474211423699915,0.5401459854014599,0.5629984913818157,0.02733584085980869,1
