[0,                                                params  mean_test_score  rank_test_score
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.531106               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.540419               13
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.537289               25
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.538009               21
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.554457                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.559414                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.547644                9
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.540179               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.531106               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.540419               13, 28,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.526775               25
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.529221               21
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.561638                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.555813                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.552591               13
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.556526                5
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.522914               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.542545               17
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.526775               25
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.529221               21
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.561638                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.555813                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.552591               13
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.556526                5
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.522914               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.542545               17
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.526775               25
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.529221               21
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.561638                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.555813                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.552591               13
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.556526                5
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.522914               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.542545               17
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.526775               25
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.529221               21
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.561638                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.555813                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.552591               13
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.556526                5
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.522914               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.542545               17, 29,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.519218               21
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.520200               17
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.546650                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.544512                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.543527                9
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.539802               13
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.511748               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.517205               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.519218               21
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.520200               17
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.546650                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.544512                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.543527                9
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.539802               13
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.511748               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.517205               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.519218               21
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.520200               17
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.546650                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.544512                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.543527                9
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.539802               13
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.511748               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.517205               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.519218               21
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.520200               17
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.546650                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.544512                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.543527                9
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.539802               13
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.511748               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.517205               25, 30,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.557787                9
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.556960               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.559637                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.558167                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.537359               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.544915               25
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.556792               17
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.550200               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.557787                9
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.556960               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.559637                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.558167                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.537359               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.544915               25
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.556792               17
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.550200               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.557787                9
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.556960               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.559637                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.558167                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.537359               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.544915               25
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.556792               17
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.550200               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.557787                9
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.556960               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.559637                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.558167                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.537359               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.544915               25
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.556792               17
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.550200               21, 31,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.544079               13
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.543168               17
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.550705                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.550685                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.552529                1
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.543118               21
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.528610               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.540307               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.544079               13
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.543168               17
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.550705                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.550685                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.552529                1
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.543118               21
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.528610               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.540307               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.544079               13
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.543168               17
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.550705                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.550685                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.552529                1
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.543118               21
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.528610               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.540307               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.544079               13
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.543168               17
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.550705                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.550685                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.552529                1
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.543118               21
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.528610               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.540307               25, 32,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.572909                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.572064                5
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.562018               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.565987                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.536348               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.552883               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.500766               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.514434               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.572909                1
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.572064                5
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.562018               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.565987                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.536348               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.552883               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.500766               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.514434               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.572909                1
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.572064                5
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.562018               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.565987                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.536348               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.552883               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.500766               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.514434               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.572909                1
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.572064                5
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.562018               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.565987                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.536348               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.552883               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.500766               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.514434               25, 33,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.544022                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.541622                9
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.541314               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.537052               25
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.537396               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.539705               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.533673               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.543174                5
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.544022                1
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.541622                9
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.541314               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.537052               25
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.537396               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.539705               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.533673               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.543174                5
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.544022                1
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.541622                9
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.541314               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.537052               25
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.537396               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.539705               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.533673               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.543174                5
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.544022                1
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.541622                9
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.541314               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.537052               25
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.537396               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.539705               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.533673               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.543174                5, 34,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.543148                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.541613               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.542516                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.542417                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.523081               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.533803               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.523662               25
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.531854               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.543148                1
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.541613               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.542516                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.542417                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.523081               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.533803               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.523662               25
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.531854               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.543148                1
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.541613               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.542516                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.542417                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.523081               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.533803               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.523662               25
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.531854               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.543148                1
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.541613               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.542516                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.542417                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.523081               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.533803               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.523662               25
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.531854               21, 35,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.529818                5
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.533776                1
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.519788               17
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.527867                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.512773               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.520459               13
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.514766               21
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.513408               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.529017                7
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.532981                3
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.519788               17
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.527867                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.512773               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.520459               13
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.514766               21
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.513408               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.529017                7
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.532981                3
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.519788               17
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.527867                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.512773               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.520459               13
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.514766               21
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.513408               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.529818                5
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.533776                1
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.519788               17
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.527867                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.512773               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.520459               13
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.514766               21
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.513408               25, 36,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.548012               25
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.551197               17
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.575244                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.575154                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.556184               13
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.556209                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.547473               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.548663               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.548012               25
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.551197               17
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.575244                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.575154                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.556184               13
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.556209                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.547473               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.548663               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.548012               25
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.551197               17
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.575244                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.575154                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.556184               13
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.556209                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.547473               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.548663               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.548012               25
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.551197               17
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.575244                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.575154                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.556184               13
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.556209                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.547473               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.548663               21, 37,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.551540               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.545764               25
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.554283               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.556201                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.542095               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.547402               21
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.554669                9
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.568022                1
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.551540               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.545764               25
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.554283               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.556201                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.542095               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.547402               21
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.554669                9
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.568022                1
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.551540               17
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.545764               25
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.554283               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.556201                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.542095               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.547402               21
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.554669                9
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.568022                1
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.551540               17
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.545764               25
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.554283               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.556201                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.542095               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.547402               21
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.554669                9
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.568022                1, 38,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.542053               21
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.545371               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.550890                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.546112                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.542940               17
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.547568                5
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.536793               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.539421               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.542053               21
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.545371               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.550890                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.546112                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.542940               17
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.547568                5
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.536793               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.539421               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.542053               21
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.545371               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.550890                1
