[0,                                                params  mean_test_score  rank_test_score
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.545519               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.558203                9
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.555717               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.560919                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.548370               21
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.549155               17
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.564112                1
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.530125               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.545519               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.558203                9
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.555717               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.560919                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.548370               21
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.549155               17
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.564112                1
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.530125               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.545519               25, 3,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.542827                5
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.546856                1
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.536464               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.538241                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.534189               17
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.530420               21
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.516088               25
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.507818               29
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.542827                5
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.546856                1
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.536464               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.538241                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.534189               17
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.530420               21
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.516088               25
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.507818               29
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.542827                5
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.546856                1
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.536464               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.538241                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.534189               17
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.530420               21
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.516088               25
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.507818               29
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.542827                5
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.546856                1
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.536464               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.538241                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.534189               17
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.530420               21
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.516088               25
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.507818               29, 4,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.553315                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.548376                5
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.541276               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.536290               25
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.537229               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.534882               29
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.545683                9
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.537817               17
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.553315                1
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.548376                5
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.541276               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.536290               25
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.537229               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.534882               29
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.545683                9
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.537817               17
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.553315                1
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.548376                5
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.541276               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.536290               25
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.537229               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.534882               29
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.545683                9
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.537817               17
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.553315                1
