ptype,pdtype,stype,ltype,issue,,,,,,,,get1_hz,get1_level,get2_hz,get2_level,get3_hz,get3_level,get4_hz,get4_level,get5_hz,get5_level,get6_hz,get6_level,get7_hz,get7_level,get8_hz,get8_level,get9_hz,get9_level,get10_hz,get10_level,0hz,10hz,20hz,30hz,40hz,50hz,60hz,70hz,80hz,90hz,100hz,110hz,120hz,130hz,140hz,150hz,160hz,170hz,180hz,190hz,200hz,210hz,220hz,230hz,240hz,250hz,260hz,270hz,280hz,290hz,300hz,310hz,320hz,330hz,340hz,350hz,360hz,370hz,380hz,390hz,400hz,410hz,420hz,430hz,440hz,450hz,460hz,470hz,480hz,490hz,500hz,510hz,520hz,530hz,540hz,550hz,560hz,570hz,580hz,590hz,600hz,610hz,620hz,630hz,640hz,650hz,660hz,670hz,680hz,690hz,700hz,710hz,720hz,730hz,740hz,750hz,760hz,770hz,780hz,790hz,800hz,810hz,820hz,830hz,840hz,850hz,860hz,870hz,880hz,890hz,900hz,910hz,920hz,930hz,940hz,950hz,960hz,970hz,980hz,990hz,1000hz,1010hz,1020hz,1030hz,1040hz,1050hz,1060hz,1070hz,1080hz,1090hz,1100hz,1110hz,1120hz,1130hz,1140hz,1150hz,1160hz,1170hz,1180hz,1190hz,1200hz,1210hz,1220hz,1230hz,1240hz,1250hz,1260hz,1270hz,1280hz,1290hz,1300hz,1310hz,1320hz,1330hz,1340hz,1350hz,1360hz,1370hz,1380hz,1390hz,1400hz,1410hz,1420hz,1430hz,1440hz,1450hz,1460hz,1470hz,1480hz,1490hz,1500hz,1510hz,1520hz,1530hz,1540hz,1550hz,1560hz,1570hz,1580hz,1590hz,1600hz,1610hz,1620hz,1630hz,1640hz,1650hz,1660hz,1670hz,1680hz,1690hz,1700hz,1710hz,1720hz,1730hz,1740hz,1750hz,1760hz,1770hz,1780hz,1790hz,1800hz,1810hz,1820hz,1830hz,1840hz,1850hz,1860hz,1870hz,1880hz,1890hz,1900hz,1910hz,1920hz,1930hz,1940hz,1950hz,1960hz,1970hz,1980hz,1990hz,2000hz,2010hz,2020hz,2030hz,2040hz,2050hz,2060hz,2070hz,2080hz,2090hz,2100hz,2110hz,2120hz,2130hz,2140hz,2150hz,2160hz,2170hz,2180hz,2190hz,2200hz,2210hz,2220hz,2230hz,2240hz,2250hz,2260hz,2270hz,2280hz,2290hz,2300hz,2310hz,2320hz,2330hz,2340hz,2350hz,2360hz,2370hz,2380hz,2390hz,2400hz,2410hz,2420hz,2430hz,2440hz,2450hz,2460hz,2470hz,2480hz,2490hz,2500hz,2510hz,2520hz,2530hz,2540hz,2550hz,2560hz,2570hz,2580hz,2590hz,2600hz,2610hz,2620hz,2630hz,2640hz,2650hz,2660hz,2670hz,2680hz,2690hz,2700hz,2710hz,2720hz,2730hz,2740hz,2750hz,2760hz,2770hz,2780hz,2790hz,2800hz,2810hz,2820hz,2830hz,2840hz,2850hz,2860hz,2870hz,2880hz,2890hz,2900hz,2910hz,2920hz,2930hz,2940hz,2950hz,2960hz,2970hz,2980hz,2990hz,3000hz,3010hz,3020hz,3030hz,3040hz,3050hz,3060hz,3070hz,3080hz,3090hz,3100hz,3110hz,3120hz,3130hz,3140hz,3150hz,3160hz,3170hz,3180hz,3190hz,3200hz,3210hz,3220hz,3230hz,3240hz,3250hz,3260hz,3270hz,3280hz,3290hz,3300hz,3310hz,3320hz,3330hz,3340hz,3350hz,3360hz,3370hz,3380hz,3390hz,3400hz,3410hz,3420hz,3430hz,3440hz,3450hz,3460hz,3470hz,3480hz,3490hz,3500hz,3510hz,3520hz,3530hz,3540hz,3550hz,3560hz,3570hz,3580hz,3590hz,3600hz,3610hz,3620hz,3630hz,3640hz,3650hz,3660hz,3670hz,3680hz,3690hz,3700hz,3710hz,3720hz,3730hz,3740hz,3750hz,3760hz,3770hz,3780hz,3790hz,3800hz,3810hz,3820hz,3830hz,3840hz,3850hz,3860hz,3870hz,3880hz,3890hz,3900hz,3910hz,3920hz,3930hz,3940hz,3950hz,3960hz,3970hz,3980hz,3990hz,4000hz,4010hz,4020hz,4030hz,4040hz,4050hz,4060hz,4070hz,4080hz,4090hz,4100hz,4110hz,4120hz,4130hz,4140hz,4150hz,4160hz,4170hz,4180hz,4190hz,4200hz,4210hz,4220hz,4230hz,4240hz,4250hz,4260hz,4270hz,4280hz,4290hz,4300hz,4310hz,4320hz,4330hz,4340hz,4350hz,4360hz,4370hz,4380hz,4390hz,4400hz,4410hz,4420hz,4430hz,4440hz,4450hz,4460hz,4470hz,4480hz,4490hz,4500hz,4510hz,4520hz,4530hz,4540hz,4550hz,4560hz,4570hz,4580hz,4590hz,4600hz,4610hz,4620hz,4630hz,4640hz,4650hz,4660hz,4670hz,4680hz,4690hz,4700hz,4710hz,4720hz,4730hz,4740hz,4750hz,4760hz,4770hz,4780hz,4790hz,4800hz,4810hz,4820hz,4830hz,4840hz,4850hz,4860hz,4870hz,4880hz,4890hz,4900hz,4910hz,4920hz,4930hz,4940hz,4950hz,4960hz,4970hz,4980hz,4990hz,5000hz,5010hz,5020hz,5030hz,5040hz,5050hz,5060hz,5070hz,5080hz,5090hz,5100hz,5110hz,5120hz
0,5,2,1,옥외누수(신임로31번길55  누수영향),,,,,,,,320,415,320,496,310,485,310,306,310,435,320,373,320,371,310,584,320,407,320,305,0,3,3,3,5,3,5,5,5,5,8,11,61,17,33,37,30,33,43,17,11,18,23,26,26,30,37,38,72,113,172,379,388,134,67,43,29,20,14,12,11,8,6,5,5,6,5,6,6,5,6,6,6,5,5,5,3,5,3,3,5,5,5,5,5,5,5,5,5,5,3,3,5,5,8,8,6,6,6,6,6,6,5,5,5,6,5,6,6,5,6,9,11,12,17,15,12,8,6,5,5,6,5,3,5,5,5,5,3,5,5,3,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,3,3,3,5,6,5,5,5,3,5,5,5,5,5,5,5,5,5,6,3,5,5,5,6,5,5,3,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,3,5,5,5,3,5,5,5,5,5,5,5,3,3,5,3,5,5,5,5,3,5,5,5,3,5,5,5,5,3,5,5,3,5,5,3,5,5,3,5,3,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,6,5,5,3,5,5,3,5,5,5,5,5,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,3,5,5,3,6,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,3,5,5,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,5,6,3,5,5,5,5,5,5,5,5,3,6,5,5,5,5,3,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5,5,5,6,5,5,5,5,5,6,5,5,6,5,5,5,5,5,5,3,3,5,5,5,5,5,5
0,1,2,1,옥외누수,,,,,,,,380,341,390,386,330,301,380,354,380,349,380,310,380,475,380,399,390,404,390,379,0,14,14,12,11,12,15,18,16,20,18,20,28,20,18,20,23,30,28,28,31,34,34,49,50,65,144,145,109,144,140,98,221,254,161,239,121,240,346,294,107,109,62,60,46,50,42,34,33,41,34,31,28,26,33,28,28,27,27,30,37,38,60,72,49,45,30,30,30,28,31,28,24,39,45,37,39,42,28,30,26,27,27,23,22,26,27,37,61,58,38,47,45,49,49,46,38,53,43,58,80,52,41,46,39,43,38,41,33,35,34,46,52,45,35,34,26,27,23,22,23,28,30,39,54,45,54,50,41,35,31,31,30,30,34,49,57,65,61,47,33,30,31,31,34,30,26,28,34,46,42,38,27,27,24,23,22,19,20,20,19,20,20,20,18,20,18,16,22,18,20,19,18,19,18,18,18,18,16,15,16,15,14,16,16,16,15,18,19,16,19,18,14,15,15,18,16,16,16,15,16,18,16,15,16,15,14,16,16,18,15,16,14,15,18,16,15,14,12,14,14,12,15,14,11,14,11,14,12,9,11,11,11,11,11,11,11,11,11,12,11,9,12,9,11,9,11,12,11,12,11,16,12,12,12,11,9,11,11,11,11,9,12,11,11,11,12,12,14,14,15,18,16,14,11,9,11,11,8,9,11,9,8,8,8,9,9,8,9,8,8,8,8,7,8,8,7,7,9,7,7,8,8,8,7,7,7,8,7,8,7,8,8,5,5,7,7,7,7,7,8,7,7,7,7,8,7,7,7,7,8,7,8,7,7,8,7,5,7,7,5,7,8,7,5,5,7,5,7,7,7,5,7,5,7,5,5,5,5,8,7,7,7,5,7,7,7,8,7,7,7,7,7,7,5,7,7,7,5,5,5,5,7,7,7,5,7,5,7,7,8,7,7,7,5,8,7,5,7,7,7,5,7,5,7,7,7,7,5,7,7,8,8,7,8,7,7,8,5,8,8,7,8,8,7,8,7,8,7,8,8,8,8,7,11,11,8,9,8,9,8,9,8,8,8,8,8,8,8,7,8,8,7,8,8,7,8,8,8,8,7,8,7,9,8,8,8,8,8,8,8,8,8,7,8,8,7,7,8,7,7,8,8,7,7,7,7,8,8,8,8,8,9,7,8,11,7,8,8,9,7,8,9,8,9,8,8,8,9,8,7,8,9
0,1,2,1,옥외누수,,,,,,,,320,571,330,630,330,676,340,533,320,553,350,541,320,625,330,560,330,662,330,511,0,4,6,4,4,6,6,6,6,9,9,9,9,11,11,13,13,15,17,17,28,30,32,34,37,41,45,54,75,112,120,187,468,548,438,402,221,116,99,62,49,41,32,28,24,24,17,17,15,15,15,11,11,9,9,9,6,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9,9,9,11,9,11,9,11,11,11,13,15,15,19,21,21,26,24,28,37,43,49,69,67,95,114,95,88,60,54,43,41,32,30,24,21,17,17,15,13,13,11,9,9,11,9,11,9,9,9,9,9,9,6,9,6,6,6,4,6,6,6,9,6,6,6,6,6,6,6,9,6,9,9,9,9,11,11,13,13,15,11,15,15,19,21,26,24,30,34,34,43,41,34,37,32,26,24,15,19,17,15,15,15,13,15,13,11,11,11,9,11,9,9,9,9,6,6,9,9,6,9,9,6,6,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,9,11,9,9,9,11,11,11,13,13,13,17,15,19,19,19,19,19,17,19,17,13,15,15,11,11,11,9,9,9,11,11,9,11,9,11,9,9,9,11,9,9,6,9,9,6,6,6,9,9,6,6,6,9,9,6,6,6,6,6,6,9,6,6,6,6,6,9,9,9,9,9,9,6,6,11,11,9,11,11,13,11,13,11,11,11,13,11,9,11,9,9,6,6,9,9,9,9,9,9,9,9,9,9,9,11,9,6,11,9,6,9,9,9,9,9,9,9,9,6,9,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,6,9,6,6,6,9,9,9,9,6,9,9,6,9,9,9,9,6,9,6,6,9,9,11,9,9,9,11,11,9,11,11,9,9,9,11,11,11,9,9,11,9,9,9,9,9,9,9,6,9,9,6,6,9,6,6,6,6,4,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,9,6,9,9,6,6,9,6,9,11,6,11,9,11,11,13,11,11,11,11,11,11,13,11,13,11,11,11,11,11,11,6,9,9,9,9,9,6,9,9,9,6,6,6,6,9,6,9,9,6,6,4,6,9,6,6,6,6,6,6,6,9,9,9,9,6,9,9,9,9,9,9,9,9,9,6,11
0,1,2,1,옥외누수,,,,,,,,330,623,340,565,340,567,340,513,340,649,330,385,340,649,340,650,340,785,340,602,0,0,2,0,2,2,0,0,2,2,5,5,7,5,2,5,5,5,9,18,20,18,16,14,14,20,27,27,36,54,95,127,254,427,579,225,111,57,43,30,23,20,18,11,14,11,7,7,9,7,7,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,5,5,5,7,5,5,5,5,5,7,7,9,14,23,32,48,48,54,36,23,16,11,9,5,5,5,5,5,5,5,5,2,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,7,7,9,11,11,11,11,11,7,7,7,5,5,5,5,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,5,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,2,1,옥외누수,,,,,,,,310,657,310,664,320,642,320,789,320,859,320,871,320,852,320,733,320,991,320,711,0,0,0,0,0,0,3,0,3,3,6,9,6,6,6,12,12,18,32,41,29,26,29,35,53,53,50,70,91,132,255,434,747,267,144,91,100,79,67,44,32,32,32,32,35,26,21,21,15,12,9,6,9,6,6,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,3,3,3,6,6,6,6,9,12,18,18,21,15,21,23,23,21,26,35,35,38,62,94,108,103,67,53,41,38,29,32,23,23,18,18,18,15,12,15,12,9,6,6,6,3,6,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,6,6,6,6,3,6,9,9,9,12,9,9,15,12,12,12,18,18,21,26,29,38,29,35,26,21,21,15,15,15,15,12,12,9,9,9,9,9,6,6,6,6,3,3,3,3,3,3,3,0,3,3,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,9,6,9,12,9,12,12,15,18,15,9,9,9,6,9,9,6,6,6,6,6,3,6,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,0,0,3,3,0,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,6,6,6,6,9,3,6,3,3,6,6,6,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,0,0,0,0,3,3,0,3,0,3,0,0,0,0,3,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,0,3,3,0,3,3,3,3,0,0,0,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3,3,0,0,0,3,0,0,3,0,0,0,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,6,2,1,옥외누수,,,,,,,,310,419,310,990,310,532,310,422,310,697,310,816,310,757,310,972,310,647,310,804,0,3,0,0,3,3,3,3,3,6,11,17,17,19,39,19,25,25,39,66,83,89,44,44,94,122,78,91,158,202,269,706,183,105,64,55,44,36,33,28,25,30,22,19,17,14,14,11,14,8,19,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,6,3,6,6,6,6,6,11,8,11,14,11,11,14,19,19,19,19,17,19,22,25,17,25,33,36,42,50,25,17,14,11,8,8,8,6,8,6,6,6,6,6,3,3,3,3,6,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,6,3,6,6,6,6,6,6,6,6,8,6,6,6,6,8,8,6,6,6,3,6,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0,3,0,3,3,0,0,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,0,3,3,0,3,0,3,3,0,3,0,0,3,3,3,0,0,0,0,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,0,3,0,3,3,3,0,3,3,3,0,3,3,3,3,3,0,0,3,0,3,0,3,3,0,0,3,0,0,3,3,0,3,3,0,0,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,0,3,0,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,3,0,3,3,3,3,3,0,3,0,0,3,3,3,0,3,0,3,3,3,3,3,3,3,3,0,3,3,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3
0,5,2,1,옥외누수,,,,,,,,300,165,290,149,310,183,290,194,320,247,310,265,320,229,300,166,310,200,320,307,0,4,5,5,4,4,5,7,5,4,4,4,5,5,5,3,7,12,21,28,23,38,36,18,17,20,37,81,102,136,151,166,164,43,33,36,42,66,63,40,27,13,10,9,14,16,12,8,7,5,5,6,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,4,5,6,5,5,5,6,5,5,5,5,6,5,5,5,5,6,6,6,6,5,6,5,5,5,5,7,5,6,5,5,6,6,5,5,5,6,5,6,5,5,5,5,5,5,5,6,5,6,5,5,6,5,5,5,5,6,6,5,6,7,5,5,7,5,5,7,6,5,7,6,5,5,5,5,5,6,5,6,5,5,7,6,7,5,5,6,6,6,5,5,6,6,6,6,5,5,6,5,5,5,5,5,6,5,5,7,5,5,5,5,5,5,5,6,5,6,5,7,5,5,5,6,5,5,5,6,5,5,5,5,5,6,5,5,5,5,6,5,4,5,6,5,5,5,5,6,5,7,5,5,5,7,5,5,5,5,5,5,6,6,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5,5,5,5,6,6,6,5,5,5,6,5,5,5,6,5,7,5,5,5,6,6,5,6,6,7,6,5,5,5,5,5,5,5,6,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,6,5,6,5,6,6,6,6,5,7,5,7,6,6,5,7,5,5,5,6,5,5,5,7,5,5,5,5,6,5,5,7,6,5,6,6,5,6,5,6,5,5,6,6,5,6,6,6,5,5,5,5,5,5,6,7,5,5,7,5,6,5,6,5,5,5,5,5,5,5,7,5,6,5,7,6,5,5,5,5,6,7,5,5,6,5,6,6,5,6,5,6,5,6,7,5,5,6,6,6,6,6,6,7,5,5,5,5,7,5,5,5,7,6,7,5,7,5,5,6,6,5,7,5,6,6,6,7,5,5,7,6,5,6,6,6,5,5,7,6,5,6,5,5,6,6,6,5,6,5,6,7,7,7,5,6,6,5,5,6,5,7,6,5,6,7,6,5,5,5,5,6,5,6,5,5,6,5,6,5,7,6,5,6,6,5,5,5,5,6,5,6,6,6,6,7,6,6,6,5,5,6,6,6,7,6,5,5
1,6,2,1,옥외누수,,,,,,,,290,469,290,595,290,447,290,605,290,620,290,622,290,618,290,533,300,586,290,744,0,2,2,2,2,5,5,5,7,11,14,16,23,45,70,73,41,36,32,36,43,50,54,61,75,100,107,168,218,579,384,268,272,166,175,163,82,45,48,41,39,27,30,25,32,25,18,23,20,16,14,16,9,9,7,5,5,5,5,5,7,7,5,7,5,7,7,9,9,14,11,16,18,23,20,23,20,20,18,20,20,23,20,30,34,30,39,54,64,54,61,52,52,50,48,45,36,23,25,20,18,18,14,14,14,11,11,11,11,9,9,11,7,7,7,7,5,5,5,5,5,5,5,5,5,5,7,7,5,9,9,9,9,9,9,11,11,9,9,11,9,9,11,11,11,14,14,16,18,16,16,20,16,18,14,16,14,11,9,7,9,7,7,7,5,5,7,7,5,5,5,5,5,5,5,5,5,5,2,2,2,2,5,2,5,2,2,5,2,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,7,5,5,7,7,7,7,5,7,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,0,2,0,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,0,0,2,2,2,0,2,2,0,2,2,0,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,0,2,0,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,6,2,1,옥외누수,,,,,,,,340,888,340,1005,340,818,340,724,350,840,350,730,350,715,350,858,340,749,340,911,0,0,0,3,3,3,3,3,3,3,3,3,3,6,6,9,12,15,18,18,24,27,24,21,21,18,24,35,47,59,77,92,127,248,753,558,216,109,80,59,47,35,30,24,24,21,18,21,21,15,18,15,15,9,9,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,6,6,6,9,9,9,12,18,15,15,18,18,15,15,18,18,21,27,35,38,44,68,121,136,92,77,50,38,24,21,18,15,15,15,15,18,12,12,12,12,9,12,9,6,6,6,6,6,6,3,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,9,9,9,12,12,12,12,9,12,15,15,15,18,21,27,38,41,53,44,32,32,27,21,12,12,12,12,12,9,12,9,12,9,9,9,6,9,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,6,6,9,9,9,9,9,6,9,9,9,9,9,12,12,18,15,21,24,21,18,18,15,15,15,12,12,9,6,9,9,9,6,6,6,6,6,6,6,6,3,6,3,3,3,6,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,3,6,6,6,6,6,6,6,6,6,6,9,9,6,6,9,9,9,9,12,12,12,9,9,9,9,9,9,6,6,6,6,6,6,6,6,3,3,3,3,6,6,3,3,3,3,3,3,3,6,3,3,6,3,3,3,3,3,3,3,6,3,3,3,3,6,3,3,3,3,3,6,6,9,6,6,6,6,9,9,6,6,6,9,6,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,3,6,6,3,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,6,3,3,3,3,3,6,6,3,6,6,6,3,6,6,9,9,6,9,6,6,9,9,6,9,9,6,12,9,9,9,9,9,9,9,9,9,6,6,9,6,6,6,6,6,9,6,6,6,6,6,3,3,3,3,3,6,3,3,3,3,3,6,3,3,3,3,3,3,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,9,9,9,6,9,12,9,12,12,12,12,15,12
1,6,2,1,옥외누수,,,,,,,,310,623,300,679,290,547,300,582,300,670,300,665,300,576,310,449,300,478,310,542,0,14,19,19,19,16,16,19,21,21,23,19,16,21,25,27,27,29,35,39,41,54,62,64,66,84,89,121,204,364,525,395,307,255,198,148,86,68,56,51,41,37,37,37,31,35,37,31,25,21,16,16,21,16,19,14,16,19,23,23,25,23,23,19,16,14,16,16,14,14,21,23,19,14,21,19,19,16,23,21,23,21,27,27,29,37,41,43,51,70,86,74,66,74,72,62,51,49,37,39,31,25,23,23,19,21,23,19,16,14,16,12,16,19,12,14,16,14,14,16,14,14,19,12,12,14,10,12,12,12,16,14,14,16,14,14,14,16,16,16,12,16,16,19,21,21,23,23,25,29,29,27,33,29,29,29,25,23,25,25,21,19,19,19,19,14,16,12,16,14,14,12,14,12,12,10,10,10,10,12,12,10,10,12,12,10,10,10,14,12,12,10,12,12,14,10,14,14,12,12,10,14,16,14,16,16,16,16,21,19,19,21,21,19,19,19,19,16,19,21,21,14,19,14,12,14,12,12,12,10,10,14,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,12,10,12,10,12,12,10,12,14,12,10,12,14,14,16,16,14,16,19,23,19,23,23,16,19,14,16,14,12,12,12,10,12,8,12,12,12,10,10,10,10,12,10,10,10,10,10,8,10,10,10,8,8,10,10,8,8,8,10,10,10,8,12,10,10,10,12,10,10,8,10,10,12,12,12,12,12,12,8,12,10,12,10,12,10,12,12,12,10,10,10,12,10,10,10,10,10,6,10,10,10,8,8,10,10,10,10,10,12,10,10,8,8,10,10,10,10,10,12,12,12,12,12,12,10,10,10,8,10,12,12,10,10,10,10,10,10,8,10,10,8,10,10,10,10,10,10,12,12,10,10,10,10,8,10,10,10,10,8,8,10,8,8,12,8,8,12,10,10,12,10,10,12,10,12,10,10,10,10,12,14,12,12,12,12,14,12,14,10,14,12,10,10,12,10,10,14,10,12,10,12,12,10,10,12,10,10,10,10,10,12,10,10,12,12,10,10,12,10,8,10,12,8,10,12,10,12,8,10,12,12,12,12,14,12,12,10,10,12,14,12,12,14,14,16,12,14,14,14,14,12,14,14,14,12,14,14,12
